alim_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Protéines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Glucose (g/100 g);Alcool (g/100 g)
Pâtes sèches standard, crues;1420;336;12,6;65,8;1,79;2,12;0,085;0
Pâtes fraîches, aux oeufs, crues;1200;283;11,1;53,8;1,87;2,54;-;0
Pâtes sèches, aux oeufs, crues;1610;381;15,2;68;4,72;2,19;0,1;0
Pâtes ou nouilles asiatiques au blé et aux oeufs, crues, nature;1570;371;13;71;3;0,5;-;0
Pâtes sèches, au blé complet, crues;1490;353;12,6;67,6;2,2;1,8;< 0,5;0
Pâtes sèches, sans gluten, crues;1510;356;6,61;79;1,24;0,38;< 0,2;0
Vermicelle de riz, sèche;1550;365;7,81;80,5;1;0;< 0,5;0
Vermicelle de soja, sèche;1460;344;< 0,63;84,7;0,14;1,38;< 0,5;0
Gnocchi à la pomme de terre, cru;744;176;4,66;35;1,42;3,18;< 0,3;0
Gnocchi à la semoule, cru;846;200;6,2;37;2,6;9,9;< 0,3;0
Frik (blé dur immature concassé), cru;1360;323;10,3;55,8;2,25;-;< 0,5;0
Pain (aliment moyen);1170;276;9,01;54,4;1,61;2,74;0,32;0,011
Pain, baguette, courante;1220;287;9,06;58,3;1,4;2,3;< 0,2;0
Pain, baguette ou boule, au levain;1110;261;8,13;53,1;1,3;2,4;0,2;0
Pain, baguette, de tradition française;1180;279;8,94;56,6;1;2,1;< 0,2;0
Pain, baguette ou boule, bis (à la farine T80 ou T110) ;1120;265;9,43;54;0,33;2,39;0,1;0
Pain courant, 400g ou boule;1130;266;8,67;52;2;-;0,1;0
Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110);1090;257;9,52;49,9;1,19;1,37;0,1;0
Pain, baguette ou boule, de campagne;1070;253;8,25;50;1,3;2,5;0,2;0
Pain complet ou intégral (à la farine T150);1030;244;9,19;44,3;1,8;2,2;< 0,2;0
Pain de mie, complet;1110;262;9,33;43,7;4,06;5,69;1,9;0,2
Pain de mie, au son;1170;278;7,5;46;5,5;3,53;-;0
Pain de mie, multicéréale;1160;274;9,66;43,6;5,41;4,42;1,66;0,2
Pain au son;1050;249;8,8;44,4;2,6;2,04;0,1;0
Pain de seigle, et froment;1100;260;9,06;51,5;1;2,4;< 0,2;0
Pain, sans gluten;1100;261;2,75;51,8;3,3;4,9;1,8;0
Pain, baguette, sans sel;1180;279;9,1;56,5;1,3;8,6;< 0,1;0
Pain panini;1150;272;8,4;55,9;1,1;2,3;-;0
Pain pita;1100;259;8,26;53;0,92;2,18;1,3;0
Pain de mie, courant;1180;278;7,81;52,3;3,6;7,8;1,9;0,2
Pain de mie, sans croûte, préemballé;1150;271;8,25;49,5;3,8;9,2;1,1;0
Pain de mie brioché, préemballé;1310;309;8,63;52,4;6,5;11,5;2,47;0
Pain, baguette ou boule, aux céréales et graines, artisanal;1140;269;10,5;46,9;3,2;2,2;0,3;0
Muffin anglais, complet, petit pain spécial, préemballé;917;217;13,7;32,9;1,87;2,13;0,16;0
Muffin anglais, petit pain spécial, préemballé;966;228;11,6;39,6;1,88;4,25;0,39;0
Bagel;1150;272;10,2;47,3;3,98;5,36;0,82;0
Pain pour hamburger ou hot dog (bun), préemballé;1240;293;9,95;49,7;5,35;5,88;2,85;0
Pain blanc maison (avec farine pour machine à pain);1090;256;8,56;52,1;0,9;-;-;0
Pain de campagne maison (avec farine pour machine à pain);1020;240;8,75;46,7;0,9;-;-;0
Pain pour hamburger ou hot dog (bun), complet, préemballé;1200;285;9,75;46,3;5,75;5,38;-;0
Bretzel, pain frais;1390;330;10,1;54,6;7,1;3,58;0,52;0
Tortilla souple (à garnir), à base de maïs;1320;313;9,06;54,7;5,8;2,6;1,1;0
Tortilla souple (à garnir), à base de blé;1380;327;9,15;52,1;8,2;1,55;0,48;0
Blini;-;-;5,98;33,7;11,2;3,14;< 0,2;0
Pain grillé, domestique;1340;317;10,4;64;1,3;1,4;< 0,2;0
Biscotte classique;1730;409;10,8;76,6;5,9;6,8;1,7;0
Biscotte briochée;1760;417;11,9;69;9,28;9,01;-;0
Biscotte sans adjonction de sel;1710;405;11,4;74;5,88;5,67;0,75;0
Biscotte multicéréale;1680;398;12,9;66,7;7,22;5,4;2,6;0
Biscotte complète ou riche en fibres;1660;393;12,8;67;6,17;4,32;1,5;0
Crackers de table au froment;1900;450;8,5;75;12;0,4;-;0
Galette de riz soufflé complet;1630;385;7,69;80,5;3;0,73;< 0,2;0
Galette multicéréales soufflée;1670;394;8,86;82,4;2,5;0,98;< 0,1;0
Galette de maïs soufflé;-;-;7,44;-;1,7;0,3;< 0,1;0
Pain grillé, tranches, au froment;1710;404;10,7;74,4;6,16;5,28;0,27;0
Pain grillé brioché, tranché, préemballé;1770;419;11,6;70,8;9,19;11;4,43;0
Pain grillé suédois au froment;1690;402;9,75;68,5;8,25;6,2;2,6;0
Pain grillé suédois aux graines de lin;1670;396;11,3;63;9;4,67;-;0
Tartine craquante, extrudée et grillée;1610;379;10,9;73,7;3,57;6,36;2,2;0
Pain grillé suédois au blé complet;1680;398;11,5;66,4;8;2;1,35;0
Pain grillé suédois aux fruits;1690;401;8,75;70,8;8;13;5,3;0
Pain grillé, tranches, multicéréale;1770;419;12,1;68,8;9,3;3,68;0,57;0
Croûton à tartiner;1580;374;13,5;70;2,85;7,5;-;0
Croûtons nature, préemballés;2070;495;9,19;59,1;24,1;4;< 0,2;0
Chapelure;1580;374;12,7;70;3,77;6,9;3,3;0
Gressin;1820;433;13,9;65,3;11,8;2,06;0,17;0
Croûton à l'ail aux fines herbes ou aux oignons, préemballé;2060;492;8,81;58,9;24,1;11,8;0,89;0
Pop-corn ou Maïs éclaté, à l'huile, salé;2030;485;11;52,6;23,8;0,57;< 0,2;0
Pop-corn ou Maïs éclaté, à l'air, non salé;1750;417;10,2;60;12,3;0,87;0,07;0
Pop-corn ou Maïs éclaté, au caramel;1770;418;3;85,4;6,5;62;-;0
Chips de crevette;2130;508;3,1;63,7;26,6;7,1;0,17;0
Chips de maïs ou tortilla chips;2070;495;6,56;59,5;24,7;2,62;0,4;0
Biscuit apéritif soufflé, à base de pomme de terre;2020;484;4,25;60,5;24,1;1,61;-;0
Biscuit apéritif, mini bretzel ou sticks;1610;379;11,2;74,4;3,13;2,02;< 0,2;0
Biscuit apéritif soufflé, à base de pomme de terre et de soja;1720;409;19;58,3;9,33;7,17;-;0
Biscuit apéritif (aliment moyen);2040;486;9,2;60,3;22,3;3,82;0,43;0
Biscuit apéritif soufflé, à base de maïs, sans cacahuète;2050;489;6,96;62,1;23;2,79;< 0,2;0
Biscuit apéritif, crackers, garni ou fourré, au fromage;2240;537;13,8;46,3;32,2;5,38;0,29;0
Biscuit apéritif, crackers, nature;2090;499;10,5;59;23,9;5,44;0,39;0
Biscuit apéritif, crackers, nature, allégé en matière grasse;1730;410;6,53;73,1;9,33;3,97;-;0
Biscuit apéritif soufflé, à base de maïs, à la cacahuète;2040;487;13,3;54,8;22,9;3,13;-;0
Biscuit apéritif à base de pomme de terre, type tuile salée;2180;521;4,63;59,1;28,8;2,86;1,1;0
Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif;2160;518;15,8;45,4;29,7;4,51;-;0
Biscuit apéritif feuilleté;2130;509;12,3;53,7;26,5;1,86;0,12;0
Crêpe dentelle (pour apéritif) au fromage, préemballée;2310;555;9,3;48,8;35,6;14,2;-;0
Fécule de pomme de terre;1480;348;0;86,3;0,2;-;-;0
Flocon d'avoine;1550;367;14,2;57,9;6,51;0,97;0;0
Farine de blé tendre ou froment T110;1450;343;10,3;68,6;1,5;1,6;< 0,2;0
Farine de blé tendre ou froment T150;1450;342;12,2;64,9;1,52;1,77;0,19;0
Farine de blé tendre ou froment T65;1470;346;14,9;67,6;1;1,5;0,073;0
Farine de blé tendre ou froment T55 (pour pains);1480;350;9,9;73,7;1;1,5;< 0,2;0
Farine de blé tendre ou froment avec levure incorporée;1490;350;10;74;1;2,5;-;0
Farine de blé tendre ou froment T45 (pour pâtisserie);1510;356;9,94;75,9;0,82;0,41;0;0
Farine de blé tendre ou froment T80;1510;355;10,9;73,2;1,18;1,77;0,12;0
Farine d'épeautre (grand épeautre);1490;352;12,5;64;3;1,3;< 0,2;0
Amidon de maïs ou fécule de maïs;1540;362;0,43;89,2;0,25;0;0;0
Farine de riz;1510;357;8;73,9;2,5;0,9;< 0,2;0
Farine de seigle T170;1320;315;17,1;44,8;2,22;2,31;0,22;0
Farine de seigle T85;1460;344;8,7;70,7;1,37;0,93;0,14;0
Farine de seigle T130;1450;344;7,76;70,9;1,12;1,1;0,06;0
Farine de sarrasin;1470;348;11,5;68,4;2,19;0,03;0,0075;0
Farine de maïs;1530;361;6,23;78,1;2,1;0,64;0,015;0
Farine d'orge;1430;339;10,6;64,5;2,3;0,8;-;0
Farine de millet;1480;350;10,2;63,2;4,1;0,5;< 0,2;0
Farine de pois chiche;1510;359;22,4;47;6,69;10,9;-;0
Farine de soja;1920;460;39,2;22,9;21,4;7,5;-;0
Amidon de riz;1460;343;0,63;85;0;-;-;0
Pâte à pizza fine, crue;1180;279;8,45;44,6;7,01;2,21;0,9;0
Pâte brisée, crue;1580;377;5,87;43,6;19,5;3,77;0,71;0
Pâte brisée, matière grasse végétale, cuite;2110;505;8,19;58,3;26,4;-;2,3;0
Pâte brisée, pur beurre, crue;1600;384;6,33;44,9;19,5;3,23;0,86;0
Pâte brisée, pur beurre, surgelée, crue;1620;387;6,2;43,3;20,7;7,55;-;0
Pâte brisée, pur beurre, cuite;2080;497;8,31;61,1;23,9;3,22;0,62;0
Pâte feuilletée, matière grasse végétale, crue;1570;377;5,93;41,4;20,4;2,31;0,35;0
Pâte feuilletée, surgelée, crue;1670;400;3,6;33,3;27,4;1,7;-;0
Pâte feuilletée, cuite;2220;531;7,88;54,1;31;0,3;-;0
Pâte feuilletée pur beurre, crue;1540;368;6,14;39,7;20,1;3,03;0,55;0
Pâte feuilletée pur beurre, surgelée crue;1660;398;5,47;35,3;25,8;1,33;-;0
Pâte feuilletée pur beurre, cuite;2120;509;5,05;57;28,7;1,05;-;0
Feuille de brick, cuite à sec sans matière grasse;1600;378;6,75;82,4;1,76;-;7;0
Pâte sablée, crue;1690;404;5,3;51;19,6;13;1,1;0
Pâte sablée, cuite;2110;505;5,7;64,4;24,6;22,9;0,4;0
Pâte sablée pur beurre, crue;1610;383;5,95;53,6;15,8;13,4;0,65;0
Pâte phyllo ou Pâte filo, crue;1220;289;7,1;50,8;6;0,18;-;0
Pâte sablée pur beurre, surgelée, crue;1780;423;4,9;60,9;17,5;21,3;-;0
Pâte sablée pur beurre, cuite;1960;469;6,2;63;20,9;20,1;1,4;0
Pâte à pizza crue;1020;240;7,05;44,2;3,45;1,4;-;0
Khatfa feuille de brick, préemballée;1200;283;7;59;1,5;2;-;0
Pâte à pizza cuite;1370;324;8,5;55,3;7,1;3,3;0,5;0
Viande blanche, cuite (aliment moyen);728;173;28,1;0,26;6,55;0,0019;;0
Viande rouge, cuite (aliment moyen);816;195;26;0,027;10,1;;;0
Viande cuite (aliment moyen);765;182;27,2;0,24;8,04;0,011;;0
Volaille, cuite (aliment moyen);698;166;27,6;0,28;5,96;0,0022;;0
Boeuf, entrecôte, partie maigre, grillée/poêlée;829;198;25,5;< 0,1;10,7;0;-;0
Boeuf, braisé;1000;240;32,1;0;12,4;-;-;0
Boeuf, gîte à la noix, cuit;431;102;21;0,2;1,9;-;-;0
Boeuf, faux-filet, rôti/cuit au four;812;194;28,8;traces;8,71;-;-;0
Boeuf, faux-filet, grillé/poêlé;762;182;27,1;0;8,17;0;-;0
Boeuf, plat de côtes, braisé;1130;269;37,3;0;13,3;0;-;0
Boeuf, hampe, grillée/poêlée;728;174;21,6;traces;9,76;-;-;0
Boeuf, joue, braisée ou bouillie;992;236;39,2;traces;8,82;-;-;0
Boeuf, jarret, bouilli/cuit à l'eau;679;161;31;traces;4,1;-;-;0
Boeuf, tende de tranche, grillée/poêlée;597;141;28,7;traces;2,92;-;-;0
Boeuf, tende de tranche, rôtie/cuite au four;618;146;29,8;traces;3,03;-;-;0
Boeuf, steak ou bifteck, grillé;541;128;27,6;traces;1,95;-;-;0
Boeuf, onglet, grillé;717;171;23;traces;8,8;-;-;0
Boeuf, rumsteck, grillé;518;123;25;traces;2,5;-;-;0
Boeuf, boule de macreuse, grillée/poêlée;607;144;26,7;traces;4,11;-;-;0
Boeuf, rosbif, rôti/cuit au four;494;117;21,9;0,3;3,16;-;-;0
Boeuf, bavette d'aloyau, grillée/poêlée;682;162;25;traces;6,94;-;-;0
Boeuf, boule de macreuse, rôtie/cuite au four;619;147;27,3;traces;4,2;-;-;0
Boeuf, à bourguignon ou pot-au-feu, cuit;728;172;34;traces;4,05;-;-;0
Boeuf, collier, braisé;776;184;33;traces;5,8;-;-;0
Boeuf, steak haché 5% MG, cuit;650;155;25,5;0;5,85;0;-;0
Boeuf, steak haché 10% MG, cuit;879;210;26,1;0;11,8;0;-;0
Boeuf, steak haché 15% MG, cuit;996;239;23,6;0;16,1;0;-;0
Boeuf, steak haché 20% MG, cuit;1100;265;23;0,14;19,2;0;-;0
Boeuf, steak haché, cuit (aliment moyen);963;231;23,8;0,0018;15,1;0;;0
Boeuf, paleron, braisé ou bouilli;1050;251;36,8;0,2;11,4;0;-;0
Boeuf, queue, bouillie/cuite à l'eau;820;196;28;traces;9,3;-;-;0
Veau, côte, grillée/poêlée;657;156;25,1;0;6,24;-;-;0
Veau, carré, sauté/poêlé;720;171;28;traces;6,6;-;-;0
Veau, escalope, cuite;620;147;31;traces;2,5;-;-;0
Veau, noix, grillée/poêlée;622;147;29,1;traces;3,44;-;-;0
Veau, noix, rôtie;622;147;29,1;traces;3,44;-;-;0
Veau, filet, rôti/cuit au four;838;201;23,4;0,5;11,7;0;-;0
Veau, rôti, cuit;603;143;28,1;0;3,39;-;-;0
Veau, épaule, grillée/poêlée;698;166;27,6;traces;6,17;-;-;0
Veau, épaule, braisée ou bouillie;920;219;36,4;traces;8,14;-;-;0
Veau, viande, cuite (aliment moyen);712;169;29;0,74;5,55;;;0
Veau, jarret, braisé ou bouilli;873;207;37,4;traces;6,43;-;-;0
Veau, tête, bouillie/cuite à l'eau;779;187;21;traces;11,4;-;-;0
Veau, collier, braisé ou bouilli;978;233;34,9;traces;10,4;-;-;0
Porc, longe, cuite;1000;240;27,1;0;14,7;0;-;0
Porc, palette, crue;868;208;24,8;traces;12,1;-;-;0
Porc, épaule, cuite;1060;253;30;0;14,8;0;-;0
Porc, côte, grillée;885;211;29,6;0;10,3;-;-;0
Porc, rouelle de jambon, cuite;1110;266;36,9;traces;13,1;-;-;0
Porc, carré, cuit;866;206;34,1;0,6;7,45;0;-;0
Porc, filet, maigre, en rôti, cuit;828;198;28,3;0;9,39;0;-;0
Porc, filet mignon, cuit;707;168;26,1;traces;7,1;-;-;0
Porc, viande, cuite (aliment moyen);860;205;29,1;0,24;9,78;;;0
Porc, rôti, cuit;689;163;30,5;0,65;4,31;0;-;0
Porc, travers, braisé;1380;333;23,1;0,13;26,6;0;-;0
Porc, échine, rôtie/cuite au four;1230;295;26,2;< 0,1;21,2;0;-;0
Porc, escalope de jambon, cuite;841;200;36;traces;6,2;-;-;0
Poulet, cuisse, viande et peau, rôtie/cuite au four;893;213;25,9;2;11,3;0;-;0
Poulet, viande et peau, rôti/cuit au four;892;213;28,9;2,1;9,88;0;-;0
Poulet, cuisse, viande, rôti/cuit au four;718;171;24,8;0;8,03;0;-;0
Poulet, filet, sans peau, sauté/poêlé;598;141;30,1;0;2;traces;< 0,2;0
Poulet, cuisse, viande, bouilli/cuit à l'eau;785;188;24,8;0,7;9,52;0;-;0
Poulet, cuisse, viande et peau, bouilli/cuit à l'eau;790;188;26,1;< 0,55;9,1;< 0,2;< 0,2;0
Poulet, poitrine, viande et peau, rôti/cuit au four;794;189;29,8;0;7,78;0;-;0
Poulet, aile, viande et peau, rôti/cuit au four;1030;247;23,8;0;16,9;0;-;0
Poulet, filet, sans peau, sauté/poêlé, bio;611;144;31,1;0;1,8;traces;< 0,2;0
Dinde, viande, rôtie/cuite au four;636;151;29,1;0;3,84;0;-;0
Dinde, escalope, sautée/poêlée;524;124;28,5;0;1,09;-;-;0
Dinde, escalope, rôtie/cuite au four;539;128;24,6;0,5;3,04;0;-;0
Agneau, côtelette, grillée;999;240;25,7;traces;15,2;-;-;0
Agneau, gigot, rôti/cuit au four;708;169;26,8;0;6,85;0;-;0
Agneau, épaule, rôtie/cuite au four;1050;252;30,5;< 0,1;14,5;0;-;0
Agneau, épaule, maigre, rôtie/cuite au four;822;197;24,9;0;10,8;0;-;0
Agneau, collier, braisé ou bouilli;1520;365;33,6;traces;25,6;-;-;0
Agneau, côte filet, grillée/poêlée;660;157;26,3;traces;5,78;-;-;0
Agneau, côte première, grillée/poêlée;777;185;26,1;0;9,01;-;-;0
Agneau, selle, partie maigre, rôtie/cuite au four;645;153;26,1;0;5,45;0;-;0
Agneau, gigot, grillé/poêlé;731;174;27,6;traces;7,08;-;-;0
Agneau, gigot, braisé;932;222;35,2;traces;9,03;-;-;0
Agneau, selle, partie maigre, grillée/poêlée;645;153;26,1;traces;5,45;-;-;0
Agneau, côte ou côtelette, cuite (aliment moyen);660;157;26,3;0;5,78;;;0
Agneau, viande, cuite (aliment moyen);868;208;28,1;0,011;10,6;;;0
Agneau, côte ou côtelette, grillée/poêlée (aliment moyen);660;157;26,3;0;5,78;;;0
Chevreuil, rôti/cuit au four;632;150;30,2;0;3,19;-;-;0
Sanglier, rôti/cuit au four;643;153;28,3;0;4,38;0;-;0
Cerf, rôti/cuit au four;632;150;30,2;0;3,19;-;-;0
Gibier à poil, cuit (aliment moyen);641;152;29,6;0;3,74;;;0
Faisan, viande, rôtie/cuite au four;999;239;32,4;0;12,1;0;-;0
Gibier à plumes, viande, cuit (aliment moyen);908;217;25,1;0;13;0;;0
Cheval, viande, rôtie/cuite au four;581;138;28;0;2,85;-;-;0
Cheval, tende de tranche, grillée/poêlée;570;135;27,9;traces;2,58;-;-;0
Cheval, faux-filet, grillé/poêlé;685;163;26,6;traces;6,27;-;-;0
Cheval, entrecôte, grillée/poêlée;711;169;28,2;traces;6,24;-;-;0
Cheval, faux-filet, rôti/cuit au four;729;173;28,3;traces;6,68;-;-;0
Cheval, tende de tranche, rôtie/cuite au four;607;144;29,7;traces;2,75;-;-;0
Chevreau, cuit;573;136;27,1;0;3,03;0;-;0
Lapin, viande braisée;828;197;30,4;0;8,41;0;-;0
Lapin, viande cuite;697;167;20,5;0,5;9,2;-;-;0
Lapin de garenne, viande, cuite;691;164;33;0;3,51;0;-;0
Chapon, viande et peau, rôti/cuit au four;923;221;29;0;11,7;-;-;0
Caille, viande et peau, cuite;860;206;26,8;0;10,9;0;-;0
Canard, viande et peau, rôti/cuit au four;1370;331;19;0;28,4;0;-;0
Canard, viande, rôtie/cuite au four;811;194;23,3;0;11,2;0;-;0
Canard, magret, grillé/poêlé;928;222;26,7;traces;12,8;0;-;0
Oie, viande, rôtie/cuite au four;961;230;29;0;12,7;-;-;0
Oie, viande et peau, rôtie/cuite au four;1240;298;25,2;0;21,9;0;-;0
Pigeon, viande, rôtie/cuite au four;887;213;23,9;0;13;0;-;0
Autruche, viande cuite;706;168;26,2;0;7,07;0;-;0
Cervelle, agneau, cuite;603;145;12,6;0,8;10,2;-;-;0
Cervelle, porc, braisée;722;174;12,4;< 0,05;13,8;-;-;0
Cervelle, veau, cuite;551;133;11,5;0;9,63;-;-;0
Coeur, boeuf, cuit;560;133;23;0,15;4,5;0;-;0
Coeur, poulet, cuit;744;177;26,4;0,1;7,92;-;-;0
Coeur, dinde, cuit;701;167;24,9;0;7,52;0;-;0
Coeur, agneau, cuit;750;179;25;1,93;7,91;-;-;0
Foie, agneau, cuit;659;157;23;3,16;5,8;-;-;0
Foie, génisse, cuit;695;165;26,3;2,2;5,71;0;-;0
Foie, veau, cuit;511;121;19;4,47;3,02;0;-;0
Foie, volaille, cuit;687;164;25,8;0;6,4;-;-;0
Foie, porc, cuit;669;159;26;3,76;4,4;-;-;0
Foie, poulet, cuit;670;160;24,5;0,8;6,51;0;-;0
Foie, dinde, cuit;762;182;27;0;8,18;0;-;0
Langue, veau, cuite;986;237;21;0;17;-;-;0
Langue, boeuf, cuite;981;235;23,7;0;15,6;0;-;0
Ris, agneau, cuit;948;227;22,8;0;15,1;-;-;0
Ris, veau, braisé ou sauté/poêlé;572;136;21;0;5,8;0;-;0
Rognon, cuit (aliment moyen);678;161;26,1;0;6,31;0;;0
Rognon, boeuf, cuit;718;171;27;0;7;0;-;0
Rognon, porc, cuit;606;144;25,4;0;4,7;-;-;0
Rognon, agneau, braisé;536;127;23,7;0;3,62;0;-;0
Rognon, veau, braisé ou sauté/poêlé;701;167;26;0;7;0;-;0
Abat, cuit (aliment moyen);682;162;25,1;1,36;6,24;0,026;;0
Gésier, canard, confit, appertisé;632;149;32,4;0;2,1;< 0,2;< 0,1;0
Boeuf, côte, crue;1040;251;18,7;traces;19,6;-;-;0
Boeuf, épaule, crue;703;168;20,4;0;9,64;0;0;0
Boeuf, basse-côte, crue;837;201;19;1,45;13,2;< 0,5;-;0
Boeuf, gîte à la noix, cru;622;148;21,3;0;7,05;0;0;0
Boeuf, entrecôte, crue;961;231;19,4;0;17,1;0;0;0
Boeuf, rond de gîte, cru;470;111;22,9;0,38;2,02;< 0,5;-;0
Boeuf, faux-filet, cru;639;152;22,3;0,6;6,74;0;0;0
Boeuf, filet, cru;553;132;21,6;0,22;4,95;< 0,5;-;0
Boeuf, plat de côtes, cru;1190;287;18,4;0;23,7;-;-;0
Boeuf, hampe, crue;643;154;19;0;8,63;0;-;0
Boeuf, joue, crue;571;136;22,3;0,4;5,02;0;-;0
Boeuf, jarret, cru;513;122;20,9;0;4,25;0;-;0
Boeuf, tende de tranche, crue;488;116;23,1;0,57;2,34;0;0;0
Boeuf, steak ou bifteck, cru;926;223;19,2;0;16,2;0;0;0
Boeuf, boule de macreuse, crue;495;118;21,8;0;3,36;0;-;0
Boeuf, onglet, cru;577;138;19,9;0,62;6,18;< 0,5;-;0
Boeuf, rumsteck, cru;482;114;22,5;0,4;2,5;0;0;0
Boeuf, bavette d'aloyau, crue;557;133;20,4;0;5,67;0;-;0
Boeuf, à bourguignon ou pot-au-feu, cru;686;164;24;0;7,5;0;-;0
Boeuf, collier, cru;825;198;20,1;0,78;12,7;< 0,5;-;0
Boeuf, steak haché 5% MG, cru;547;130;21,9;0,3;4,59;0;0;0
Boeuf, steak haché 10% MG, cru;713;171;20;< 0,05;10,1;0;-;0
Boeuf, steak haché 15% MG, cru;873;209;20,2;0,47;14,1;0;0;0
Boeuf, steak haché 20% MG, cru;1030;249;17,3;0;20;0;-;0
Boeuf, paleron, cru;602;144;21,2;0;6,54;0;-;0
Boeuf, queue, crue;849;203;21,5;0,23;12,9;< 0,5;-;0
Veau, côte, crue;787;189;18,3;0;12,9;0;-;0
Veau, carré, cru;606;145;19,5;0,4;7,25;0;-;0
Veau, escalope, crue;457;108;20,7;0,58;2,6;0;-;0
Veau, noix, crue;467;111;21,8;0;2,58;0;-;0
Veau, filet, cru;402;95;20,6;0;1,4;0;-;0
Veau, steak haché 20% MG, cru;1010;243;16,7;0,4;19,5;0;-;0
Veau, steak haché 15% MG, cru;864;208;18,2;traces;15;-;-;0
Veau, poitrine, crue;733;176;18,7;0;11,2;0;-;0
Veau, rôti, cru;611;145;27,3;0;3,96;0;-;0
Veau, épaule, crue;523;124;20,7;0;4,63;0;-;0
Veau, pied, cru;769;184;19,1;traces;12;-;-;0
Veau, jarret, cru;496;118;21,3;0;3,66;0;-;0
Veau, collier, cru;556;133;19,8;traces;5,92;-;-;0
Porc, épaule, crue;743;178;18,9;0,38;11,2;0;0;0
Porc, poitrine, crue;1050;253;17;0;20,5;-;0;0
Porc, longe, crue;733;175;20,8;0,75;9,89;0;0;0
Porc, jarret, cru;780;187;19,9;0;12;0;-;0
Porc, côte, crue;687;164;19,8;0,38;9,3;0;0;0
Porc, rouelle de jambon, crue;623;149;20,2;0;7,56;0;-;0
Porc, carré, cru;612;146;22,7;0,4;5,94;-;-;0
Porc, filet, maigre, cru;493;117;21,2;0;3,6;0;0;0
Porc, filet mignon, cru;519;123;21,2;0,4;4,09;0;-;0
Porc, rôti, cru;642;153;22,3;0,5;6,86;0;-;0
Porc, échine, crue;826;198;18;0,1;14;0;-;0
Porc, travers, cru;983;237;18;0,6;18;0;0;0
Porc, escalope de jambon, crue;541;129;21,5;0;4,76;0;-;0
Porc, bardière découennée, crue;3060;744;4,51;0,1;80,6;0,1;-;0
Porc, gorge, découennée, crue;1960;475;11,6;0,14;47,5;0,14;-;0
Porc, hachage sans jarret, sans bateau, découenné, dégraissé, désossé, cru;780;187;18,9;0,23;12,3;0,23;-;0
Porc, jambon sans jarret, sans bateau, découenné, dégraissé, désossé, cru;592;141;20,9;0,28;6,3;0,28;-;0
Porc, jambonneau arrière, découenné, dégraisssé, désossé, cru;618;148;20,2;0,28;7,31;0,28;-;0
Porc, maigre 90/10, cru;882;212;18,8;0,24;15,1;0,24;-;0
Porc, maigre 80/20, cru;1210;293;17,3;0,26;24,7;0,26;-;0
Porc, palette, découennée, dégraissée, désossée, crue;728;174;19,9;0,25;10,4;0,25;-;0
Porc, poitrine cutter, sans mouille, crue;1340;323;15,9;0,22;28,7;0,22;-;0
Porc, rôti filet avec chaînette, cru;615;146;22,3;0,37;6,2;0,37;-;0
Poulet, cuisse, viande et peau, cru;799;192;17,3;0;13,5;traces;< 0,2;0
Poulet, viande, crue;477;113;20;0;3,73;0;0;0
Poulet (var. blanc), viande et peau, cru;519;123;21,2;0;4,3;-;-;0
Poulet fermier, viande et peau, cru;569;135;21,5;0,2;5,4;0,2;-;0
Poulet, viande et peau, cru;723;173;20,2;0,3;10,1;0,2;0;0
Poulet, filet, sans peau, cru;464;110;23,4;0;1,5;traces;< 0,2;0
Poulet, haut de cuisse, viande, cru;487;116;19,7;0;4,12;0;-;0
Poulet éviscéré sans abats, cru;875;210;18,6;traces;15,1;-;-;0
Poulet, pilon, cru;648;155;18,4;0;9,05;0;-;0
Poulet, aile, viande et peau, cru;754;181;20,4;0;11;0;-;0
Poulet, cuisse, viande, cru;478;114;19,3;0;4,05;0;-;0
Poulet, poitrine, viande et peau, cru;657;157;21,1;0;8,08;0;-;0
Poulet, cuisse, viande et peau, cru, bio;805;193;18,1;0;13,3;traces;< 0,2;0
Poulet, cuisse, viande et peau, cru, label rouge;723;173;19,1;0;10,6;traces;< 0,2;0
Poulet, filet, sans peau, cru, bio;497;118;24,6;0;1,8;traces;< 0,2;0
Poulet, filet, sans peau, cru, label rouge;478;113;25,2;0;1;traces;< 0,2;0
Dinde, viande et peau, crue;557;132;23,4;0;4,31;-;0;0
Dinde, viande, crue;464;110;22,4;0,8;1,88;0,14;0;0
Dinde, escalope, crue;463;109;24,1;0,51;1,22;0,32;0;0
Dinde, cuisse, viande et peau, crue;627;150;19,8;0;7,85;0;0;0
Dinde, cuisse, viande sans peau, crue;461;109;21,3;0,4;2,5;0,1;0;0
Dinde, aile, crue;800;192;20,2;0;12,3;-;-;0
Mouton, viande, crue;576;137;20,6;traces;6,11;-;-;0
Mouton, épaule, crue;848;204;18,3;0,1;14,5;0;0;0
Mouton, pied, cru;848;204;18,1;traces;14,6;-;-;0
Mouton, tête, crue;848;204;18,1;traces;14,6;-;-;0
Mouton, gigot, cru;935;225;18;traces;17;-;-;0
Agneau, côtelette, crue;1520;368;14,4;0;34,5;0;0;0
